Title,Tweet,Date,Location
Cyclone Laila,Severe cyclonic storm Laila caused flooding and damage in Andhra Pradesh and Tamil Nadu killing nine,2010-05-17,Andhra Pradesh/Tamil Nadu
Ladakh Floods,Ladakh flood that occurred in August 2010 caused extensive damage and casualties after a cloudburst,2010-08-06,Ladakh
Myanmar earthquake,Myanmar earthquake on November 11 2011 measured magnitude 6.8 and affected India,2011-11-11,Myanmar
AMRI Hospital Wildfire,Fire at AMRI Hospital Kolkata in December 2011 caused by basement short circuit killed victims,2011-12-09,Kolkata
North Indian Cold Wave,Winter 2011 North Indian blizzard killed over people in Uttar Pradesh Punjab and Haryana,2011-11-01,North India
Sikkim earthquake,Sikkim earthquake on September 18 2011 killed over 100 people and caused severe damage,2011-09-18,Sikkim
Cyclone Jal,Cyclone Jal in October 2010 caused severe flooding and damage across India Thailand and Malaysia,2010-10-10,India/Thailand/Malaysia
Himalayan Flash Floods,August floods in Himalayan region caused deaths landslides infrastructure damage rescue operations conducted.,2012-08-03,Himalayan Region
North India Floods,June 2013 cloudburst in Uttarakhand led to severe floods landslides extensive rescue efforts.,2013-06-16,Uttarakhand
Cyclone Phailin,Severe Cyclone Phailin hit Odisha causing massive evacuations and significant damage,2013-10-12,Odisha
Malin Landslide,Landslide in Malin on July caused by deforestation and rain killed people and buried houses,2014-07-30,Malin
India Pakistan Floods,India and Pakistan flood in September caused massive damage and casualties in Kashmir and Punjab,2014-09-01,Kashmir/Punjab
Cyclone Hudhud,Severe Cyclone Hudhud hit Visakhapatnam in October causing extensive damage and deaths in India and Nepal,2014-10-12,Visakhapatnam
Nepal Earthquake,7.8 Mw earthquake hit Nepal on April 25 2015 9000 killed 22000 injured major damage,2015-04-25,Nepal
Nepal Earthquake,Major earthquake hit Nepal on May 12 2015 causing deaths injuries and fresh damage,2015-05-12,Nepal
Heatwave,Severe heatwave in India May 2015 caused deaths and widespread power outages,2015-05-10,India
Gujarat flood,June 2015 flood in Gujarat caused deaths severe damage and major relief efforts,2015-06-24,Gujarat
North Gujarat flood,July 2015 floods in North Gujarat caused deaths and significant property damage,2015-07-27,North Gujarat
Imphal Earthquake,Earthquake in Manipur killed eleven and injured others with significant damage,2016-01-04,Imphal
East Asia Cold Wave,Record blizzard in East Asia led to numerous deaths and unprecedented weather events,2016-01-22,East Asia
Siachen Glacier Avalanche,Avalanche on Siachen Glacier trapped soldiers causing deaths and critical injuries,2016-02-03,Siachen Glacier
Myanmar Earthquake,April 2016 earthquake in Myanmar causes 2 deaths injures over 100 felt in Bangladesh and India,2016-04-13,Myanmar
Cyclone Nivar,Cyclone Nivar struck Tamil Nadu and Andhra Pradesh in late November causing significant damage and flooding.,2020-11-23,Tamil Nadu/Andhra Pradesh
Cyclone Burevi,Cyclone Burevi struck Sri Lanka in December with minimal impact on southern India causing flooding and damage.,2020-11-30,Southern India
Saurashtra flood,In September severe flood in Gujarat's Saurashtra region caused six deaths widespread damage and evacuations.,2021-09-01,Saurashtra
Cyclone Gulab and Shaheen,Cyclone Gulab and Shaheen caused significant damage in Asia with heavy rain and powerful winds.,2021-09-01,Asia
Kerala floods,On August severe flood affected Kerala India killing at least people due to heavy rainfall.,2020-08-25,Kerala
Indian HeatWave,April-May 2016 heatwave in India set records affected millions with severe drought and health issues,2016-04-01,India
Uttarakhand Forest Fires,Uttarakhand wildfires in April-May 2016 burned thousands of hectares caused by heatwave and drought,2016-04-01,Uttarakhand
Cyclone Roanu,Cyclonic Storm Roanu caused severe flooding in Sri Lanka and Bangladesh resulting in numerous casualties and damage.,2016-05-17,Sri Lanka/Bangladesh
Uttarakhand flood,In February 2021 a rock flood and ice avalanche caused flooding in Uttarakhand killing over 200.,2021-02-07,Uttarakhand
